name,id,nametype,recclass,mass,fall,year,reclat,reclong,geolocation,:@computed_region_cbhk_fwbd,:@computed_region_nnqa_25f4
Klein-Wenden,12332,Valid,H6,3250.0,Fell,1843-01-01T00:00:00.000,51.6,10.8,"{'latitude': '51.6', 'longitude': '10.8'}",,
Knyahinya,12335,Valid,L/LL5,500000.0,Fell,1866-01-01T00:00:00.000,48.9,22.4,"{'latitude': '48.9', 'longitude': '22.4'}",,
Kobe,12336,Valid,CK4,136.0,Fell,1999-01-01T00:00:00.000,34.73333,135.16667,"{'latitude': '34.73333', 'longitude': '135.16667'}",,
Kokubunji,12342,Valid,L6,11510.0,Fell,1986-01-01T00:00:00.000,34.3,133.95,"{'latitude': '34.3', 'longitude': '133.95'}",,
Komagome,12343,Valid,Iron,238.0,Fell,1926-01-01T00:00:00.000,35.73333,139.75,"{'latitude': '35.73333', 'longitude': '139.75'}",,
Konovo,12344,Valid,LL5,90.0,Fell,1931-01-01T00:00:00.000,42.51667,26.16667,"{'latitude': '42.51667', 'longitude': '26.16667'}",,
Košice,53810,Valid,H5,4300.0,Fell,2010-01-01T00:00:00.000,48.76367,21.17633,"{'latitude': '48.76367', 'longitude': '21.17633'}",,
Krähenberg,12353,Valid,LL5,16500.0,Fell,1869-01-01T00:00:00.000,49.32694,7.46472,"{'latitude': '49.32694', 'longitude': '7.46472'}",,
Krasnoi-Ugol,12355,Valid,L6,2440.0,Fell,1829-01-01T00:00:00.000,54.03333,40.9,"{'latitude': '54.03333', 'longitude': '40.9'}",,
Krasnyi Klyuch,12357,Valid,H5,4000.0,Fell,1946-01-01T00:00:00.000,54.33333,56.08333,"{'latitude': '54.33333', 'longitude': '56.08333'}",,
Krutikha,12363,Valid,OC,845.2,Fell,1906-01-01T00:00:00.000,56.8,77.0,"{'latitude': '56.8', 'longitude': '77.0'}",,
Krymka,12364,Valid,LL3.2,50000.0,Fell,1946-01-01T00:00:00.000,47.83333,30.76667,"{'latitude': '47.83333', 'longitude': '30.76667'}",,
Kukschin,12368,Valid,L6,2250.0,Fell,1938-01-01T00:00:00.000,51.15,31.7,"{'latitude': '51.15', 'longitude': '31.7'}",,
Kulak,12369,Valid,L5,453.6,Fell,1961-01-01T00:00:00.000,30.73111,66.80222,"{'latitude': '30.73111', 'longitude': '66.80222'}",,
Kuleschovka,12370,Valid,L6,6000.0,Fell,1811-01-01T00:00:00.000,50.75,33.5,"{'latitude': '50.75', 'longitude': '33.5'}",,
Kulp,12373,Valid,H6,3719.0,Fell,1906-01-01T00:00:00.000,41.11667,45.0,"{'latitude': '41.11667', 'longitude': '45.0'}",,
Kunashak,12377,Valid,L6,200000.0,Fell,1949-01-01T00:00:00.000,55.78333,61.36667,"{'latitude': '55.78333', 'longitude': '61.36667'}",,
Kunya-Urgench,12379,Valid,H5,1100000.0,Fell,1998-01-01T00:00:00.000,42.25,59.2,"{'latitude': '42.25', 'longitude': '59.2'}",,
Kushiike,12381,Valid,OC,4460.0,Fell,1920-01-01T00:00:00.000,37.05,138.38333,"{'latitude': '37.05', 'longitude': '138.38333'}",,
Kusiali,12382,Valid,L6,5.0,Fell,1860-01-01T00:00:00.000,29.68333,78.38333,"{'latitude': '29.68333', 'longitude': '78.38333'}",,
Kutais,12383,Valid,H5,23.0,Fell,1977-01-01T00:00:00.000,44.51667,39.3,"{'latitude': '44.51667', 'longitude': '39.3'}",,
Kuttippuram,12384,Valid,L6,45000.0,Fell,1914-01-01T00:00:00.000,10.83333,76.03333,"{'latitude': '10.83333', 'longitude': '76.03333'}",,
